PASS	example_test	-	PASS
FAIL	feature_abortnode	feature_abortnode.py:39	AssertionError: Predicate ''''
FAIL	feature_addrman	feature_addrman.py:65	AssertionError: [node 0] Expected message(s) ['Loaded 0 addresses from peers.dat'] not found in log:
FAIL	feature_anchors	feature_anchors.py:78	AssertionError: [node 0] Expected message(s) ['0 block-relay-only anchors will be tried for connecti
FAIL	feature_asmap	feature_asmap.py:89	AssertionError: [node 0] Expected message(s) ['CheckAddrman: new 2, tried 2, total 4 started', 'Chec
FAIL	feature_assumeutxo	feature_assumeutxo.py:220	AssertionError: Expected substring not found in error message:
FAIL	feature_assumevalid	feature_assumevalid.py:146	AssertionError: [node 0] Expected message(s) ['Enabling script verification at block #1 (58a9625bd65
FAIL	feature_bind_extra	feature_bind_extra.py:94	AssertionError: not({('00000000', 13472)} == {('7f000001', 13475)})
SKIP	feature_bind_port_discover	-	SKIP
SKIP	feature_bind_port_externalip	-	SKIP
FAIL	feature_bip68_sequence	feature_bip68_sequence.py:319	AssertionError
FAIL	feature_block	feature_block.py:1450	AssertionError: Predicate ''''
PASS	feature_blocksdir	-	PASS
PASS	feature_blocksxor	-	PASS
FAIL	feature_chain_tiebreaks	feature_chain_tiebreaks.py:76	AssertionError: Predicate ''''
FAIL	feature_cltv	feature_cltv.py:138	AssertionError: [node 0] Expected message(s) ['36b7882b0ed053f835e324864818f4a5dab7abe4d3374acbadf7d
FAIL	feature_coinstatsindex	feature_coinstatsindex.py:82	KeyError: 'disk_size'
SKIP	feature_coinstatsindex_compatibility	-	SKIP
FAIL	feature_config_args	feature_config_args.py:255	AssertionError: [node 0] Unable to connect to bitcoind after 60s (ignored errors: {'missing_credenti
FAIL	feature_csv_activation	feature_csv_activation.py:181	AssertionError
FAIL	feature_dbcrash	feature_dbcrash.py:73	test_framework.test_node.FailedToStartError: [node 0] bitcoind exited with status 1 during initializ
FAIL	feature_dersig	feature_dersig.py:103	AssertionError: [node 0] Expected message(s) ['5d15bebd896073060c8c4cdc5280c770e5bb7b557db7164e6d34d
PASS	feature_dirsymlinks	-	PASS
PASS	feature_discover	-	PASS
PASS	feature_fastprune	-	PASS
FAIL	feature_fee_estimation	feature_fee_estimation.py:345	AssertionError: [node 0] Expected message(s) ['Flushed fee estimates to /workspace/build/conformance
FAIL	feature_filelock	feature_filelock.py:34	AssertionError: [node 1] Expected message "Error: Cannot obtain a lock on directory /workspace/build
PASS	feature_framework_miniwallet	-	PASS
PASS	feature_framework_startup_failures	-	PASS
PASS	feature_framework_testshell	-	PASS
PASS	feature_framework_unit_tests	-	PASS
PASS	feature_help	-	PASS
FAIL	feature_includeconf	feature_includeconf.py:59	AssertionError: Unexpected stderr  != warning: -includeconf cannot be used from included files; igno
FAIL	feature_index_prune	feature_index_prune.py:103	AssertionError: not(246 == 248)
FAIL	feature_init	feature_init.py:256	AssertionError
PASS	feature_loadblock	-	PASS
PASS	feature_logging	-	PASS
PASS	feature_maxtipage	-	PASS
TIMEOUT	feature_maxuploadtarget	-	TIMEOUT
FAIL	feature_minchainwork	feature_minchainwork.py:87	AssertionError: Block sync timed out after 60s:
FAIL	feature_notifications	feature_notifications.py:85	RPC -8 Invalid wallet name "\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0
FAIL	feature_nulldummy	feature_nulldummy.py:144	AssertionError: not(block-script-verify-flag-failed (Dummy CHECKMULTISIG argument must be zero) == s
FAIL	feature_port	feature_port.py:32	AssertionError: [node 0] Expected message(s) ['Bound to 0.0.0.0:15597', 'Bound to 127.0.0.1:15598'] 
FAIL	feature_posix_fs_permissions	feature_posix_fs_permissions.py:25	AssertionError
