FAIL	mempool_limit	mempool_limit.py:93	AssertionError: [node 0] Expected message(s) ['rolling minimum fee bumped'] not found in log:
PASS	mempool_package_limits	-	PASS
FAIL	mempool_package_rbf	mempool_package_rbf.py:156	AssertionError: not(package RBF failed: insufficient anti-DoS fees, rejecting replacement 9a9d390b86
FAIL	mempool_packages	mempool_packages.py:173	AssertionError
FAIL	mempool_persist	mempool_persist.py:220	AssertionError: Predicate ''''
FAIL	mempool_reorg	mempool_reorg.py:87	AssertionError: not(3 == 0)
PASS	mempool_resurrect	-	PASS
PASS	mempool_sigoplimit	-	PASS
PASS	mempool_spend_coinbase	-	PASS
FAIL	mempool_truc	mempool_truc.py:520	AssertionError: Expected substring not found in error message:
FAIL	mempool_unbroadcast	mempool_unbroadcast.py:106	AssertionError: [node 0] Expected message(s) ['Removed eb3da140d822097942065cf34b74832ffab4d00b8fb4e
PASS	mempool_updatefromblock	-	PASS
FAIL	mining_basic	mining_basic.py:495	AssertionError: Expected substring not found in error message:
PASS	mining_getblocktemplate_longpoll	-	PASS
PASS	mining_mainnet	-	PASS
PASS	mining_prioritisetransaction	-	PASS
FAIL	mining_template_verification	mining_template_verification.py:44	AssertionError: not(bad-cb-multiple == bad-txns-duplicate)
PASS	p2p_1p1c_network	-	PASS
PASS	p2p_add_connections	-	PASS
FAIL	p2p_addr_relay	p2p_addr_relay.py:175	AssertionError: not(0 == 20)
FAIL	p2p_addr_selfannouncement	p2p_addr_selfannouncement.py:103	IndexError: list index out of range
FAIL	p2p_addrfetch	p2p_addrfetch.py:81	AssertionError: Predicate ''''
FAIL	p2p_addrv2_relay	p2p_addrv2_relay.py:58	AssertionError: Predicate ''''
PASS	p2p_block_sync	-	PASS
FAIL	p2p_blockfilters	p2p_blockfilters.py:126	AssertionError: not([114339048455230403270651681925393882734383567343466021348693673067745240133318,
PASS	p2p_blocksonly	-	PASS
FAIL	p2p_compactblocks	p2p_compactblocks.py:210	AssertionError: block_hash=5704743093477730142173004568357697459924283664413895563340774981931656236
FAIL	p2p_compactblocks_blocksonly	p2p_compactblocks_blocksonly.py:99	AssertionError: not([CInv(type=WitnessBlock hash=406c7182fd3983242abac111a058b37404279ca640b7e82d2fc
FAIL	p2p_compactblocks_hb	p2p_compactblocks_hb.py:32	AssertionError: Predicate ''''
PASS	p2p_disconnect_ban	-	PASS
FAIL	p2p_dns_seeds	p2p_dns_seeds.py:36	AssertionError: [node 0] Expected message(s) ['Loading addresses from DNS seed'] not found in log:
PASS	p2p_eviction	-	PASS
PASS	p2p_feefilter	-	PASS
FAIL	p2p_filter	p2p_filter.py:110	AssertionError
PASS	p2p_fingerprint	-	PASS
FAIL	p2p_getaddr_caching	p2p_getaddr_caching.py:74	AssertionError: Predicate ''''
PASS	p2p_getdata	-	PASS
FAIL	p2p_handshake	p2p_handshake.py:38	AssertionError: Predicate ''''
FAIL	p2p_headers_sync_with_minchainwork	p2p_headers_sync_with_minchainwork.py:62	AssertionError: [node 3] Expected message(s) ['Synchronizing blockheaders, height: 14'] not found in
FAIL	p2p_i2p_ports	p2p_i2p_ports.py:26	AssertionError: [node 0] Expected message(s) ['Error connecting to zsxwyo6qcn3chqzwxnseusqgsnuw3maqn
FAIL	p2p_i2p_sessions	p2p_i2p_sessions.py:26	AssertionError: [node 0] Expected message(s) ['Creating persistent I2P SAM session'] not found in lo
FAIL	p2p_ibd_stalling	p2p_ibd_stalling.py:106	AssertionError: not(2 == 4)
FAIL	p2p_ibd_txrelay	p2p_ibd_txrelay.py:96	AssertionError: Predicate ''''
FAIL	p2p_initial_headers_sync	p2p_initial_headers_sync.py:94	AssertionError
FAIL	p2p_invalid_block	p2p_invalid_block.py:98	AssertionError: [node 0] Expected message(s) ['bad-txns-inputs-duplicate'] not found in log:
PASS	p2p_invalid_locator	-	PASS
FAIL	p2p_invalid_messages	p2p_invalid_messages.py:98	AssertionError: not(359 == 347)
FAIL	p2p_invalid_tx	p2p_invalid_tx.py:122	AssertionError: [node 0] Expected message(s) ['bad-txns-in-belowout'] not found in log:
PASS	p2p_leak	-	PASS
PASS	p2p_leak_tx	-	PASS
FAIL	p2p_message_capture	p2p_message_capture.py:65	IndexError: list index out of range
FAIL	p2p_mutated_blocks	p2p_mutated_blocks.py:85	AssertionError: Predicate ''''
PASS	p2p_net_deadlock	-	PASS
PASS	p2p_nobloomfilter_messages	-	PASS
TIMEOUT	p2p_node_network_limited	-	TIMEOUT
FAIL	p2p_opportunistic_1p1c	p2p_opportunistic_1p1c.py:514	AssertionError
FAIL	p2p_orphan_handling	p2p_orphan_handling.py:271	RPC -1 reorg-failed
FAIL	p2p_outbound_eviction	p2p_outbound_eviction.py:56	AssertionError: Predicate ''''
PASS	p2p_permissions	-	PASS
FAIL	p2p_ping	p2p_ping.py:56	KeyError: 'ping'
FAIL	p2p_private_broadcast	p2p_private_broadcast.py:293	test_framework.test_node.FailedToStartError: [node 0] bitcoind exited with status 1 during initializ
FAIL	p2p_seednode	p2p_seednode.py:33	AssertionError: [node 0] Expected message(s) ['Empty addrman, adding seednode (25.0.0.1) to addrfetc
FAIL	p2p_segwit	p2p_segwit.py:309	RPC -344 'getbestblockhash' RPC took longer than 30.000000 seconds. Consider us
FAIL	p2p_sendheaders	p2p_sendheaders.py:169	AssertionError: Predicate ''''
FAIL	p2p_sendtxrcncl	p2p_sendtxrcncl.py:125	AssertionError: Both values are 0
FAIL	p2p_timeouts	p2p_timeouts.py:69	AssertionError: [node 0] Expected message(s) ['Unsupported message "ping" prior to verack from peer=
FAIL	p2p_tx_download	p2p_tx_download.py:284	AssertionError: Predicate ''''
PASS	p2p_tx_privacy	-	PASS
FAIL	p2p_unrequested_blocks	p2p_unrequested_blocks.py:100	AssertionError: [node 1] Expected message(s) ['AcceptBlockHeader: not adding new block header 2cae22
FAIL	p2p_v2_encrypted	p2p_v2_encrypted.py:67	AssertionError: Predicate ''''
FAIL	p2p_v2_misbehaving	p2p_v2_misbehaving.py:143	AssertionError: Predicate ''''
FAIL	p2p_v2_transport	p2p_v2_transport.py:45	AssertionError: [node 0] Expected message(s) ['start sending v2 handshake to peer'] not found in log
FAIL	rpc_bind	rpc_bind.py:46	AssertionError: not({('7f000001', 20157)} == {('00000000000000000000000000000001', 20157), ('7f00000
FAIL	rpc_blockchain	rpc_blockchain.py:333	AssertionError: not(1.0000000242 == 1)
FAIL	rpc_createmultisig	rpc_createmultisig.py:153	RPC -26 mempool-script-verify-flag-failed (Signature must be zero for failed C
PASS	rpc_decodescript	-	PASS
PASS	rpc_deprecated	-	PASS
PASS	rpc_deriveaddresses	-	PASS
